Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered:Number child entered for abacus reading,Correct on Abacus: 1=correct; 0=incorrect,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial
1,4,660,3,6,1,0.82,660,1,3,112,1,leading/trailing
0,2,36,1,1,1,2.21,36,1,2,112,1,IN/OUT
1,3,3,1,6,1,1.74,3,1,2,112,1,leading/trailing
0,4,150,3,1,1,1.83,50,0,3,112,1,leading/trailing
1,4,890,3,5,1,6.33,890,1,3,113,1,leading/trailing
1,1,21,2,3,1,2.97,1,0,2,113,1,IN/OUT
1,1,358,1,5,1,4.17,358,1,3,113,1,IN/OUT
0,4,330,3,1,1,5.13,330,1,3,113,1,leading/trailing
0,4,990,3,1,1,9.18,990,1,3,113,1,leading/trailing
1,3,25,1,6,1,5.1,25,1,3,113,1,leading/trailing
0,4,10,2,1,1,3.59,0,0,2,113,1,leading/trailing
1,3,2,1,7,1,5.22,2,1,2,113,1,leading/trailing
1,1,419,1,4,1,6.27,419,1,3,113,1,IN/OUT
1,3,27,1,7,1,3.17,27,1,3,113,1,leading/trailing
1,1,88,1,4,1,2.08,88,1,2,113,1,IN/OUT
1,3,7,1,6,1,4.85,7,1,2,113,1,leading/trailing
0,2,93,2,1,1,5.96,93,1,2,113,1,IN/OUT
0,4,70,2,1,1,3.36,70,1,2,113,1,leading/trailing
1,1,93,2,5,1,3.24,93,1,2,113,1,IN/OUT
1,2,5,1,6,1,3.1,5,1,2,113,1,IN/OUT
1,1,42,1,3,1,3.63,42,1,2,113,1,IN/OUT
1,3,75,1,5,1,4.2,75,1,3,113,1,leading/trailing
0,3,32,1,1,1,4.74,32,1,3,113,1,leading/trailing
1,2,960,2,7,1,4.89,960,1,3,113,1,IN/OUT
1,3,63,1,6,1,4.11,63,1,3,113,1,leading/trailing
1,3,76,1,5,1,4.14,76,1,3,113,1,leading/trailing
1,1,38,2,5,1,2.39,38,1,2,113,1,IN/OUT
1,2,481,3,5,1,4.6,481,1,3,113,1,IN/OUT
0,4,30,2,1,1,4.42,30,1,2,113,1,leading/trailing
1,4,30,2,7,1,2.19,30,1,2,113,1,leading/trailing
1,4,50,2,5,1,3.22,50,1,2,113,1,leading/trailing
0,2,461,3,1,1,8.14,461,1,3,113,1,IN/OUT
0,1,70,1,2,1,2.96,70,1,2,113,1,IN/OUT
1,2,90,2,7,1,4.6,90,1,2,113,1,IN/OUT
1,3,2,1,4,1,2.34,2,1,2,113,1,leading/trailing
0,1,916,1,2,1,4.74,916,1,3,113,1,IN/OUT
1,1,21,1,4,1,4.19,21,1,2,113,1,IN/OUT
1,3,4,1,5,1,2.95,4,1,2,113,1,leading/trailing
1,1,669,3,3,1,3.08,669,1,3,113,1,IN/OUT
1,1,375,1,4,1,6.4,375,1,3,113,1,IN/OUT
1,4,180,3,6,1,2.87,180,1,3,113,1,leading/trailing
0,3,36,1,1,1,4.01,36,1,3,113,1,leading/trailing
1,3,1,1,6,1,2.54,1,1,2,113,1,leading/trailing
1,4,280,3,7,1,3.66,280,1,3,113,1,leading/trailing
1,3,8,1,4,1,2.39,8,1,2,113,1,leading/trailing
1,4,70,2,5,1,3.78,70,1,2,113,1,leading/trailing
0,1,68,1,2,1,2.85,68,1,2,113,1,IN/OUT
0,1,305,3,2,1,3.07,305,1,3,113,1,IN/OUT
1,2,79,1,7,1,3.17,79,1,2,113,1,IN/OUT
1,1,6,2,3,1,2.77,6,1,2,113,1,IN/OUT
0,4,170,3,1,1,3.32,170,1,3,113,1,leading/trailing
1,3,4,1,5,1,2.65,4,1,2,113,1,leading/trailing
1,1,349,3,3,1,3.32,349,1,3,113,1,IN/OUT
1,3,43,1,5,1,2.92,3,0,3,113,1,leading/trailing
0,3,91,1,1,1,5.23,91,1,3,113,1,leading/trailing
0,3,5,1,1,1,4.49,5,1,2,113,1,leading/trailing
1,2,392,1,7,1,3.9,392,1,3,113,1,IN/OUT
0,2,28,1,1,1,10.9,28,1,2,113,1,IN/OUT
1,4,380,3,4,1,3.68,380,1,3,113,1,leading/trailing
1,4,740,3,7,1,3.31,740,1,3,113,1,leading/trailing
1,3,65,1,5,1,5.53,65,1,3,113,1,leading/trailing
1,1,702,3,3,1,8.95,702,1,3,113,1,IN/OUT
1,3,42,1,6,1,2.87,42,1,3,113,1,leading/trailing
1,4,80,2,7,1,3.49,80,1,2,113,1,leading/trailing
1,2,46,2,7,1,3.34,46,1,2,113,1,IN/OUT
1,3,1,1,4,1,2.62,1,1,2,113,1,leading/trailing
1,4,50,2,7,1,9.25,50,1,2,113,1,leading/trailing
1,1,180,2,5,1,3.4,180,1,3,113,1,IN/OUT
1,1,365,2,3,1,4.42,265,0,3,113,1,IN/OUT
1,4,390,3,5,1,5.55,390,1,3,113,1,leading/trailing
1,2,353,2,5,1,5.38,353,1,3,113,1,IN/OUT
1,4,70,2,6,1,3.03,70,1,2,113,1,leading/trailing
1,4,10,2,5,1,5.39,10,1,2,113,1,leading/trailing
1,2,922,2,6,1,2.86,922,1,3,113,1,IN/OUT
1,2,733,2,7,1,4.79,733,1,3,113,1,IN/OUT
1,2,88,2,7,1,4.88,88,1,2,113,1,IN/OUT
1,3,54,1,7,1,5.1,54,1,3,113,1,leading/trailing
0,3,6,1,1,1,4.37,6,1,2,113,1,leading/trailing
1,2,310,3,7,1,4.9,310,1,3,113,1,IN/OUT
1,4,60,2,5,1,2.81,60,1,2,113,1,leading/trailing
1,3,84,1,4,1,11.5,84,1,3,113,2,leading/trailing
0,2,36,1,1,1,8.9,36,1,2,113,1,IN/OUT
1,3,69,1,5,1,3.04,69,1,3,113,1,leading/trailing
1,3,8,1,4,1,2.31,8,1,2,113,1,leading/trailing
1,4,440,3,7,1,4.22,440,1,3,113,1,leading/trailing
1,1,4,2,6,1,3.04,4,1,2,113,1,IN/OUT
0,2,715,2,1,1,3.73,715,1,3,113,1,IN/OUT
1,4,50,2,5,1,2.24,0,0,2,113,1,leading/trailing
1,1,672,2,3,1,5.08,672,1,3,113,1,IN/OUT
1,2,108,1,6,1,4.74,108,1,3,113,1,IN/OUT
1,2,5,1,6,1,3.95,5,1,2,113,1,IN/OUT
0,1,39,2,2,1,2.26,39,1,2,113,1,IN/OUT
0,3,48,1,1,1,3.53,48,1,3,113,1,leading/trailing
1,2,911,3,7,1,2.6,911,1,3,113,1,IN/OUT
0,2,46,1,1,1,5.89,46,1,2,113,1,IN/OUT
1,1,21,1,4,1,1.66,21,1,2,113,1,IN/OUT
0,1,228,3,2,1,2.65,228,1,3,113,1,IN/OUT
1,2,71,1,6,1,2.25,71,1,2,113,1,IN/OUT
0,2,900,2,1,1,2.17,900,1,3,113,1,IN/OUT
1,4,80,2,4,1,5.96,80,1,2,113,1,leading/trailing
1,4,970,3,6,1,4.99,94,0,3,113,1,leading/trailing
1,2,64,1,7,1,3.5,64,1,3,113,1,IN/OUT
1,1,288,3,4,1,4.92,288,1,3,113,1,IN/OUT
0,1,556,2,2,1,3.47,556,1,3,113,1,IN/OUT
1,4,130,3,7,1,7.94,130,1,3,113,1,leading/trailing
1,3,9,1,4,1,4.96,9,1,2,113,1,leading/trailing
1,2,6,1,6,1,2.89,6,1,2,113,1,IN/OUT
1,4,670,3,5,1,7.02,670,1,3,113,1,leading/trailing
1,2,6,2,6,1,2.23,6,1,2,113,1,IN/OUT
0,4,930,3,1,1,3.7,930,1,3,113,1,leading/trailing
0,3,9,1,1,1,2.67,9,1,2,113,1,leading/trailing
0,2,701,3,1,1,3.47,701,1,3,113,1,IN/OUT
1,4,20,2,5,1,1.62,20,1,2,113,1,leading/trailing
1,1,78,2,3,1,1.59,78,1,3,113,1,IN/OUT
1,3,2,1,6,1,2.32,2,1,2,113,1,leading/trailing
1,2,74,1,7,1,4.6,74,1,2,113,1,IN/OUT
0,3,7,1,1,1,3.71,7,1,2,113,1,leading/trailing
0,4,80,2,1,1,10,80,1,2,113,1,leading/trailing
0,1,83,1,2,1,2.64,83,1,2,113,1,IN/OUT
1,4,240,3,5,1,4.33,240,1,3,113,1,leading/trailing
1,1,87,2,4,1,3.9,87,1,2,113,1,IN/OUT
1,3,77,1,4,1,2.47,77,1,3,113,1,leading/trailing
1,4,10,2,6,1,4.59,10,1,2,113,1,leading/trailing
1,1,51,2,3,1,6.33,51,1,2,113,1,IN/OUT
1,3,3,1,5,1,1.82,3,1,2,113,1,leading/trailing
1,1,90,1,5,1,3.41,90,1,2,113,1,IN/OUT
1,4,310,3,4,1,4.64,310,1,3,113,1,leading/trailing
1,2,72,1,7,1,2.39,72,1,2,113,1,IN/OUT
1,2,304,2,5,1,2.84,304,1,3,113,1,IN/OUT
1,2,97,2,6,1,2.08,97,1,2,113,1,IN/OUT
1,2,19,1,5,1,2.71,19,1,3,113,1,IN/OUT
1,1,700,1,4,1,2.41,700,1,3,113,1,IN/OUT
1,3,2,1,6,1,4.12,2,1,2,114,1,leading/trailing
1,2,809,2,7,1,9.83,809,1,3,114,1,IN/OUT
1,3,26,1,4,1,7.23,26,1,3,114,1,leading/trailing
1,1,427,3,4,1,6.82,427,1,3,114,1,IN/OUT
1,3,59,1,4,1,6.1,59,1,3,114,1,leading/trailing
1,1,12,1,3,1,3.24,12,1,2,114,1,IN/OUT
1,4,460,3,6,1,7.17,460,1,3,114,1,leading/trailing
1,4,50,2,6,0,3.78,50,1,2,114,1,leading/trailing
1,2,970,3,7,1,4.83,970,1,3,114,1,IN/OUT
1,1,130,2,4,1,8.06,130,1,3,114,1,IN/OUT
0,2,91,2,1,1,11.4,91,1,2,114,2,IN/OUT
1,3,19,1,6,1,5.63,19,1,3,114,1,leading/trailing
1,4,940,3,7,1,8.45,940,1,3,114,1,leading/trailing
1,4,10,2,5,1,4.18,10,1,2,114,1,leading/trailing
1,4,990,3,4,1,5.13,990,1,3,114,1,leading/trailing
1,4,190,3,7,1,9.98,190,1,3,114,1,leading/trailing
1,4,170,3,7,1,3.25,170,1,3,114,1,leading/trailing
0,2,817,2,1,1,5.54,817,1,3,114,1,IN/OUT
1,1,425,1,4,1,3.12,425,1,3,114,1,IN/OUT
1,1,77,1,3,1,2.83,77,1,2,114,1,IN/OUT
1,3,7,1,5,1,4.07,7,1,2,114,1,leading/trailing
0,1,820,1,2,1,4.92,820,1,3,114,1,IN/OUT
0,1,7,2,2,1,9,7,1,2,114,1,IN/OUT
0,2,358,1,1,1,8.03,358,1,3,114,1,IN/OUT
1,1,42,1,4,1,3.16,42,1,2,114,1,IN/OUT
1,2,429,2,6,1,8.82,429,1,3,114,1,IN/OUT
0,1,60,1,2,1,3.07,60,1,2,114,1,IN/OUT
1,3,9,1,4,1,4.38,9,1,2,114,1,leading/trailing
1,2,73,1,6,1,9.05,73,1,2,114,1,IN/OUT
1,2,702,2,5,1,11.2,702,1,3,114,2,IN/OUT
1,4,60,2,5,1,3.44,60,1,2,114,1,leading/trailing
1,3,14,1,7,1,4.32,14,1,3,114,1,leading/trailing
0,4,70,2,1,1,5.76,70,1,2,114,1,leading/trailing
1,1,22,1,3,1,4.99,22,1,2,114,1,IN/OUT
0,2,20,1,1,1,4.27,20,1,2,114,1,IN/OUT
1,3,6,1,7,1,7.32,6,1,2,114,1,leading/trailing
1,3,82,1,4,1,3.95,82,1,3,114,1,leading/trailing
1,2,988,3,7,1,5.86,988,1,3,114,1,IN/OUT
0,1,87,1,2,1,3.75,87,1,2,114,1,IN/OUT
1,2,61,2,6,1,4,61,1,2,114,1,IN/OUT
1,1,914,3,5,1,3.73,914,1,3,114,1,IN/OUT
1,2,28,2,7,1,7.44,28,1,2,114,1,IN/OUT
0,2,43,2,1,1,4.1,43,1,2,114,1,IN/OUT
1,1,83,1,4,1,5.13,83,1,2,114,1,IN/OUT
1,3,21,1,4,1,7.8,21,1,3,114,1,leading/trailing
1,2,848,3,7,1,6.7,848,1,3,114,1,IN/OUT
1,2,11,2,6,0,4.51,11,1,2,114,1,IN/OUT
1,1,977,3,3,1,8.32,977,1,3,114,1,IN/OUT
1,1,32,2,4,1,3.46,32,1,3,114,1,IN/OUT
1,3,9,1,6,1,9.76,9,1,2,114,1,leading/trailing
0,4,430,3,1,1,10.2,430,1,3,114,1,leading/trailing
1,3,4,1,5,1,6.8,4,1,2,114,1,leading/trailing
1,1,72,2,4,1,7.76,72,1,2,114,1,IN/OUT
1,2,826,3,5,1,5.55,826,1,3,114,1,IN/OUT
1,3,76,1,6,1,7.45,76,1,3,114,1,leading/trailing
1,1,247,3,3,1,13.5,247,1,3,114,2,IN/OUT
1,1,893,1,5,1,7.01,893,1,3,114,1,IN/OUT
0,4,20,2,1,1,3.38,20,1,2,114,1,leading/trailing
1,4,850,3,7,1,5.67,850,1,3,114,1,leading/trailing
0,4,610,3,1,1,5.72,610,1,3,114,1,leading/trailing
1,3,5,1,7,1,10.9,5,1,2,114,1,leading/trailing
1,2,33,1,7,1,3.15,33,1,2,114,1,IN/OUT
0,1,70,2,2,1,6.89,70,1,3,114,1,IN/OUT
0,2,32,1,1,1,5.33,32,1,2,114,1,IN/OUT
1,4,30,2,6,1,6.55,30,1,2,114,1,leading/trailing
1,1,68,2,5,1,4.73,68,1,2,114,1,IN/OUT
0,3,45,1,1,1,12.1,45,1,3,114,2,leading/trailing
1,3,7,1,5,1,3.86,7,1,2,114,1,leading/trailing
1,4,530,3,4,0,18.1,530,1,3,114,2,leading/trailing
1,4,10,2,6,1,2.55,10,1,2,114,1,leading/trailing
1,2,11,1,5,1,4.66,11,1,2,114,1,IN/OUT
1,4,40,2,6,1,3.43,40,1,2,114,1,leading/trailing
1,2,873,2,7,1,11.5,873,1,3,114,2,IN/OUT
0,3,92,1,1,1,4.49,92,1,3,114,1,leading/trailing
1,4,110,3,6,1,3.85,11,0,3,114,1,leading/trailing
1,3,5,1,4,1,6.54,5,1,2,114,1,leading/trailing
0,3,47,1,1,1,4.46,47,1,3,114,1,leading/trailing
0,1,745,3,2,1,13.1,745,1,3,114,2,IN/OUT
1,4,170,3,4,1,3.17,170,1,3,114,1,leading/trailing
1,1,96,1,4,1,5.21,96,1,2,114,1,IN/OUT
0,2,720,2,1,1,5.63,720,1,3,114,1,IN/OUT
0,3,6,1,1,1,8.68,6,1,2,114,1,leading/trailing
1,1,69,3,6,1,10.9,69,1,3,114,1,IN/OUT
1,3,38,1,5,1,8.6,39,0,3,114,1,leading/trailing
1,3,9,1,5,1,6.09,9,1,2,114,1,leading/trailing
1,2,913,2,5,1,5.03,913,1,3,114,1,IN/OUT
1,2,7,1,7,1,4.25,7,1,2,114,1,IN/OUT
0,4,250,3,1,1,6.24,250,1,3,114,1,leading/trailing
1,3,92,1,6,1,7.16,92,1,3,114,1,leading/trailing
1,2,235,1,6,1,2.61,235,1,3,114,1,IN/OUT
1,4,660,3,7,1,6.96,660,1,3,114,1,leading/trailing
0,3,2,1,1,1,3.41,2,1,2,114,1,leading/trailing
1,4,640,3,7,1,7.7,640,1,3,114,1,leading/trailing
1,3,1,1,4,1,4.43,1,1,2,114,1,leading/trailing
1,3,95,1,7,1,3.87,95,1,3,114,1,leading/trailing
0,3,47,1,1,1,8.44,47,1,3,114,1,leading/trailing
1,2,411,2,5,1,5.55,411,1,3,114,1,IN/OUT
1,2,47,2,7,1,4.14,47,1,2,114,1,IN/OUT
1,1,807,3,4,0,3.86,807,1,3,114,1,IN/OUT
1,3,18,1,4,1,6.28,18,1,3,114,1,leading/trailing
1,4,980,3,4,1,5.02,980,1,3,114,1,leading/trailing
1,3,31,1,6,1,3.57,31,1,3,114,1,leading/trailing
1,4,90,2,7,1,4.72,90,1,2,114,1,leading/trailing
1,2,57,2,7,1,6.98,57,1,2,114,1,IN/OUT
1,4,30,2,5,1,3.09,30,1,2,114,1,leading/trailing
1,1,884,1,4,1,6.2,884,1,3,114,1,IN/OUT
1,1,93,3,3,1,4.25,93,1,3,114,1,IN/OUT
0,4,40,2,1,1,4.62,40,1,2,114,1,leading/trailing
1,2,21,1,6,1,3.3,21,1,2,114,1,IN/OUT
1,4,70,2,5,1,2.05,70,1,2,114,1,leading/trailing
0,1,90,1,2,1,10.4,90,1,2,114,1,IN/OUT
1,1,43,2,4,1,4.78,43,1,2,114,1,IN/OUT
1,4,30,2,4,1,3.74,30,1,2,114,1,leading/trailing
1,2,766,3,6,1,8.63,766,1,3,114,1,IN/OUT
0,1,360,2,2,1,5.68,360,1,3,114,1,IN/OUT
0,2,202,1,1,1,3.51,202,1,3,114,1,IN/OUT
0,4,710,3,1,1,7.18,710,1,3,114,1,leading/trailing
0,4,50,2,1,1,3.73,50,1,2,114,1,leading/trailing
1,3,9,1,5,1,3.49,9,1,2,114,1,leading/trailing
0,3,6,1,1,1,4.49,6,1,2,114,1,leading/trailing
1,1,17,2,4,1,2.58,17,1,2,114,1,IN/OUT
1,1,20,1,4,1,1.83,20,1,2,114,1,IN/OUT
1,4,20,2,5,1,2.77,20,1,2,114,1,leading/trailing
1,1,67,2,4,1,1.86,67,1,2,114,1,IN/OUT
0,3,7,1,1,1,4.2,7,1,2,114,1,leading/trailing
1,4,30,2,7,0,2.37,30,1,2,114,1,leading/trailing
1,2,89,1,7,1,4.58,89,1,2,114,1,IN/OUT
1,2,17,1,5,1,2.22,17,1,2,114,1,IN/OUT
1,1,57,2,3,1,3.43,57,1,0,115,1,IN/OUT
1,3,3,1,6,1,5.13,3,1,0,115,1,leading/trailing
1,1,28,1,3,1,2.54,28,1,0,115,1,IN/OUT
1,2,40,2,7,1,3.86,40,1,0,115,1,IN/OUT
0,1,52,1,2,1,3.77,52,1,0,115,1,IN/OUT
1,4,90,2,4,1,2.37,90,1,0,115,1,leading/trailing
1,3,1,1,6,1,2.94,1,1,0,115,1,leading/trailing
1,1,72,2,3,1,2.79,72,1,0,115,1,IN/OUT
1,3,2,1,5,1,3.15,2,1,0,115,1,leading/trailing
1,3,5,1,6,1,3.08,5,1,0,115,1,leading/trailing
1,4,20,2,4,1,3.85,20,1,0,115,1,leading/trailing
1,1,61,1,3,1,1.94,61,1,0,115,1,IN/OUT
1,3,2,1,4,1,2.18,2,1,0,115,1,leading/trailing
1,2,72,2,6,1,3.28,72,1,0,115,1,IN/OUT
1,3,6,1,5,1,2.08,6,1,0,115,1,leading/trailing
1,3,1,1,7,1,5.37,1,1,0,115,1,leading/trailing
0,3,6,1,1,1,3.02,6,1,0,115,1,leading/trailing
1,2,22,2,6,1,3.15,22,1,0,115,1,IN/OUT
1,2,60,1,6,1,3.64,60,1,0,115,1,IN/OUT
1,3,2,1,6,1,2.84,2,1,0,115,1,leading/trailing
1,2,76,1,6,1,2.32,76,1,0,115,1,IN/OUT
1,3,2,1,7,1,5.61,2,1,0,115,1,leading/trailing
1,3,4,1,5,1,2.59,4,1,0,115,1,leading/trailing
1,2,46,2,6,1,3.72,46,1,0,115,1,IN/OUT
1,2,36,2,5,1,4.16,36,1,0,115,1,IN/OUT
1,1,98,1,6,1,3.01,98,1,0,115,1,IN/OUT
0,3,9,1,1,1,3.69,9,1,0,115,1,leading/trailing
1,3,2,1,7,1,2.18,2,1,0,115,1,leading/trailing
1,4,30,2,5,1,3.28,30,1,0,115,1,leading/trailing
1,2,35,2,7,1,2.4,35,1,0,115,1,IN/OUT
0,2,43,2,1,1,3.12,43,1,0,115,1,IN/OUT
1,2,98,2,7,1,2.24,98,1,0,115,1,IN/OUT
1,4,70,2,5,1,4.02,70,1,0,115,1,leading/trailing
1,1,86,1,5,1,1.75,86,1,0,115,1,IN/OUT
1,3,1,1,5,1,3.04,1,1,0,115,1,leading/trailing
1,1,41,2,3,1,1.82,41,1,0,115,1,IN/OUT
0,4,70,2,1,1,2.44,70,1,0,115,1,leading/trailing
1,2,46,2,6,1,2.09,46,1,0,115,1,IN/OUT
1,4,50,2,6,1,3.28,50,1,0,115,1,leading/trailing
1,4,90,2,4,1,2.06,95,0,0,115,1,leading/trailing
0,4,50,2,1,1,4.59,50,1,0,115,1,leading/trailing
0,4,80,2,1,1,3.76,80,1,0,115,1,leading/trailing
0,2,73,2,1,1,3.64,73,1,0,115,1,IN/OUT
1,1,49,1,3,1,2.77,49,1,0,115,1,IN/OUT
0,4,20,2,1,1,3.07,20,1,0,115,1,leading/trailing
1,1,12,2,3,1,1.84,2,0,0,115,1,IN/OUT
1,4,10,2,6,1,2.68,10,1,0,115,1,leading/trailing
1,4,10,2,4,1,3.65,10,1,0,115,1,leading/trailing
1,3,1,1,6,1,2.05,1,1,0,115,1,leading/trailing
1,4,10,2,7,1,2.63,10,1,0,115,1,leading/trailing
1,3,8,1,5,1,2.6,8,1,0,115,1,leading/trailing
0,1,56,2,2,1,1.71,56,1,0,115,1,IN/OUT
0,3,6,1,1,1,3.32,6,1,0,115,1,leading/trailing
1,2,17,2,6,1,3.57,17,1,0,115,1,IN/OUT
1,2,18,1,5,1,2.26,18,1,0,115,1,IN/OUT
1,4,20,2,7,1,1.93,20,1,0,115,1,leading/trailing
1,3,2,1,4,1,2.78,20,0,0,115,1,leading/trailing
0,3,2,1,1,1,3.5,2,1,0,115,1,leading/trailing
1,1,2,2,4,1,1.87,2,1,0,115,1,IN/OUT
0,3,6,1,1,1,3.77,6,1,0,115,1,leading/trailing
1,3,3,1,5,1,2.73,3,1,0,115,1,leading/trailing
1,2,22,1,7,1,2.05,22,1,0,115,1,IN/OUT
0,1,51,1,2,1,2.41,51,1,0,115,1,IN/OUT
0,1,75,2,2,1,1.54,75,1,0,115,1,IN/OUT
1,3,6,1,6,1,1.64,6,1,0,115,1,leading/trailing
1,4,90,2,5,1,2.61,90,1,0,115,1,leading/trailing
0,4,80,2,1,1,2.73,80,1,0,115,1,leading/trailing
1,3,7,1,6,1,2.61,7,1,0,115,1,leading/trailing
1,3,1,1,4,1,2.25,1,1,0,115,1,leading/trailing
1,2,8,1,4,1,5.01,8,1,0,115,1,IN/OUT
1,1,72,1,3,1,2.66,72,1,0,115,1,IN/OUT
1,1,64,2,5,1,3.86,64,1,0,115,1,IN/OUT
1,1,19,2,4,1,2.32,19,1,0,115,1,IN/OUT
1,3,4,1,6,1,2.52,4,1,0,115,1,leading/trailing
0,4,90,2,1,1,3.36,90,1,0,115,1,leading/trailing
0,2,16,1,1,1,3.17,16,1,0,115,1,IN/OUT
1,4,80,2,5,1,2.83,80,1,0,115,1,leading/trailing
1,4,30,2,7,1,2.09,30,1,0,115,1,leading/trailing
0,2,93,2,1,1,3.01,93,1,0,115,1,IN/OUT
0,3,1,1,1,1,2.81,1,1,0,115,1,leading/trailing
1,2,27,1,6,1,5.19,27,1,0,115,1,IN/OUT
1,4,60,2,6,1,2.12,60,1,0,115,1,leading/trailing
1,1,36,2,3,1,1.62,36,1,0,115,1,IN/OUT
1,2,58,1,4,0,2.72,58,1,0,115,1,IN/OUT
0,2,54,2,1,1,3.05,54,1,0,115,1,IN/OUT
0,2,38,1,1,1,2.19,38,1,0,115,1,IN/OUT
1,1,88,1,3,1,1.62,88,1,0,115,1,IN/OUT
1,4,20,2,4,1,1.63,20,1,0,115,1,leading/trailing
1,2,96,2,6,1,2.15,96,1,0,115,1,IN/OUT
1,4,20,2,4,1,1.62,20,1,0,115,1,leading/trailing
0,1,6,2,2,1,1.69,6,1,0,115,1,IN/OUT
1,1,36,1,4,1,1.52,36,1,0,115,1,IN/OUT
0,4,20,2,1,1,1.78,20,1,0,115,1,leading/trailing
1,3,2,1,6,1,3.49,2,1,0,115,1,leading/trailing
1,1,84,1,4,1,1.56,84,1,0,115,1,IN/OUT
0,1,16,2,2,1,1.58,16,1,0,115,1,IN/OUT
1,1,40,1,4,1,1.82,40,1,0,115,1,IN/OUT
1,1,14,2,6,1,2.07,14,1,0,115,1,IN/OUT
1,2,79,1,6,1,3.19,79,1,0,115,1,IN/OUT
1,4,60,2,6,1,2.65,60,1,0,115,1,leading/trailing
1,4,20,2,7,1,2.41,20,1,0,115,1,leading/trailing
1,4,70,2,6,1,4,70,1,0,115,1,leading/trailing
1,2,76,1,6,1,2.49,76,1,0,115,1,IN/OUT
1,2,96,2,5,1,1.86,96,1,0,115,1,IN/OUT
0,1,5,2,2,1,2.79,5,1,0,115,1,IN/OUT
1,1,18,1,3,1,4.69,18,1,0,115,1,IN/OUT
0,3,3,1,1,1,3.85,3,1,0,115,1,leading/trailing
1,2,91,2,5,1,2,91,1,0,115,1,IN/OUT
1,4,90,2,4,1,2.3,90,1,0,115,1,leading/trailing
1,2,18,2,7,1,2.19,18,1,0,115,1,IN/OUT
1,3,7,1,6,1,4.23,7,1,0,115,1,leading/trailing
1,4,90,2,4,1,2.49,90,1,0,115,1,leading/trailing
1,4,30,2,5,1,2.8,30,1,0,115,1,leading/trailing
1,2,39,1,7,1,2.29,39,1,0,115,1,IN/OUT
0,2,9,1,1,1,3.07,9,1,0,115,1,IN/OUT
0,4,50,2,1,1,1.71,50,1,0,115,1,leading/trailing
1,1,24,2,5,1,1.49,24,1,0,115,1,IN/OUT
1,3,3,1,4,1,2.02,3,1,0,115,1,leading/trailing
0,3,7,1,1,1,2.32,7,1,0,115,1,leading/trailing
1,3,7,1,5,1,2.62,7,1,0,115,1,leading/trailing
1,4,30,2,4,1,2.74,30,1,0,115,1,leading/trailing
0,1,87,2,2,1,2.22,87,1,0,115,1,IN/OUT
1,2,22,2,6,1,1.67,22,1,0,115,1,IN/OUT
0,2,47,1,1,1,2.53,47,1,0,115,1,IN/OUT
1,4,80,2,4,1,1.58,80,1,0,115,1,leading/trailing
1,1,63,2,3,1,1.81,63,1,0,115,1,IN/OUT
1,1,48,2,3,1,1.32,48,1,0,115,1,IN/OUT
1,1,99,1,4,1,1.83,99,1,0,115,1,IN/OUT
1,4,20,2,4,1,2.42,20,1,0,116,1,leading/trailing
1,1,23,1,3,1,2.4,23,1,0,116,1,IN/OUT
1,2,62,2,7,1,3.25,62,1,0,116,1,IN/OUT
1,4,20,2,6,1,2.31,20,1,0,116,1,leading/trailing
0,3,7,1,1,1,4.23,7,1,0,116,1,leading/trailing
0,1,48,2,2,1,4.41,48,1,0,116,1,IN/OUT
0,2,38,1,1,1,4.28,38,1,0,116,1,IN/OUT
1,3,5,1,5,1,3.26,5,1,0,116,1,leading/trailing
1,1,87,1,4,1,2.67,87,1,0,116,1,IN/OUT
1,2,93,2,7,1,3.6,93,1,0,116,1,IN/OUT
1,3,9,1,6,1,2.73,9,1,0,116,1,leading/trailing
1,1,61,2,3,1,2.25,61,1,0,116,1,IN/OUT
0,3,6,1,1,1,3.2,6,1,0,116,1,leading/trailing
1,1,7,2,3,1,2.43,7,1,0,116,1,IN/OUT
1,4,20,2,4,1,2.3,20,1,0,116,1,leading/trailing
1,4,40,2,5,1,2.35,40,1,0,116,1,leading/trailing
1,4,90,2,7,1,3.71,90,1,0,116,1,leading/trailing
0,2,80,2,1,1,3.73,80,1,0,116,1,IN/OUT
0,1,79,2,2,1,3.39,79,1,0,116,1,IN/OUT
1,2,72,2,7,1,2.44,72,1,0,116,1,IN/OUT
1,4,50,2,6,1,2.75,50,1,0,116,1,leading/trailing
0,4,60,2,1,1,2.82,60,1,0,116,1,leading/trailing
0,2,5,1,1,1,3.13,5,1,0,116,1,IN/OUT
0,4,70,2,1,1,6.65,70,1,0,116,1,leading/trailing
1,1,93,1,3,1,2.36,93,1,0,116,1,IN/OUT
1,3,4,1,4,1,3.62,4,1,0,116,1,leading/trailing
