Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Subject ID,One/Two conditions,Order,Subj ID across Experiments for within subject analysis of order
1,4,90,2,5,1,1.1332775,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,10,2,6,1,0.83404619,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,4,750,3,1,1,1.4388704,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,66,2,3,1,1.2447959,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,3,42,1,1,1,4.9709001,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,3,98,1,1,1,1.1657489,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,187,3,4,1,1.1852821,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,88,1,5,1,1.02596,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,91,1,5,1,1.2121106,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,25,1,7,1,1.877381,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,47,2,4,0,2.502988,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,65,1,3,1,2.322355,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,77,1,3,1,1.4303876,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,6,1,7,1,1.2205735,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,61,2,3,1,1.4200419,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,79,1,6,1,1.1398818,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,1,992,2,2,1,1.3756301,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,74,1,6,1,1.4574332,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,590,3,7,1,2.6720707,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,20,2,7,1,1.2735858,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,10,2,7,1,1.5373679,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,96,1,5,1,1.5216502,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,63,1,7,1,2.0292021,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,21,1,1,1,1.8147434,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,36,1,7,1,2.0587057,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,74,1,6,1,1.4420257,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,150,3,7,1,2.4805368,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,560,3,4,1,1.7564566,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,951,1,3,1,2.4521609,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,69,2,6,1,1.3752341,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,70,2,6,1,1.4409558,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,4,160,3,1,1,1.7577256,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,656,3,3,1,1.4840502,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,19,1,4,1,1.5035763,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,3,4,1,1,1,2.3337262,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,97,1,4,1,1.3120313,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,13,2,5,1,1.2584431,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,1,37,3,2,1,1.337742,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,22,1,6,1,1.8919554,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,10,2,7,1,1.6031385,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,1,82,1,2,1,0.95474978,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,16,1,5,1,1.1102783,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,460,3,7,1,1.6916041,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,3,6,1,1,1,1.6317443,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,823,2,6,1,3.5780188,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,318,2,5,1,0.86684451,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,674,1,3,1,0.90665822,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,18,1,5,1,1.0750966,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,330,3,7,1,1.4022145,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,77,1,6,1,1.3860508,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,6,1,4,1,1.2510963,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,50,2,5,1,1.3309062,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,2,1,5,1,1.6217739,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,15,2,6,1,1.2759812,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,199,1,5,1,1.9709185,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,3,1,4,0,1.4690973,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,90,2,5,1,3.2532204,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,85,3,6,1,1.9789082,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,83,1,5,1,4.1405268,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,4,40,2,1,1,2.1449715,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,3,47,1,1,1,3.1247981,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,250,3,6,1,2.1157876,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,3,5,1,1,1,1.9747447,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,5,1,5,1,2.0435095,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,909,2,5,1,2.6355637,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,3,17,1,1,1,4.6800699,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,126,1,6,1,1.7926029,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,6,1,5,1,1.95195,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,10,2,5,1,1.5960753,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,23,1,6,1,1.3534293,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,62,2,1,1,1.853675,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,1,85,2,2,1,1.6073878,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,687,3,7,1,2.7711557,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,41,2,6,1,0.92941685,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,434,3,1,1,1.1668382,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,5,1,1,1,2.0121818,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,730,3,7,1,1.3660524,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,40,2,5,1,1.2314352,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,66,2,6,1,0.93436691,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,13,2,5,1,1.2036473,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,9,2,5,1,1.1496623,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,547,1,4,1,1.0661388,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,4,1,5,1,1.0100474,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,4,550,3,4,1,5.0540247,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,24,1,4,1,1.3085482,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,1,681,1,2,1,1.3359132,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,844,2,3,1,1.0986668,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,40,2,7,1,1.4973879,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,220,3,7,1,0.96432553,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,371,1,3,1,2.1599696,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,3,9,1,1,1,2.5562633,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,2,79,1,7,1,1.1714049,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,70,2,5,1,1.2694966,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,3,1,1,6,1,1.403862,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,2,64,1,1,1,2.189266,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,1,2,3,4,1,10.18917,0,0,3,201,2,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,2,4,1,7,1,4.0285739,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,74,2,1,1,2.2880125,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,4,540,3,5,1,2.2849294,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
1,1,975,2,3,1,1.4232853,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,34,1,4,1,1.3997331,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,4,80,2,1,1,0.92826238,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,1,92,1,2,1,0.90276098,0,0,2,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
0,2,982,3,1,1,2.5418881,0,0,3,201,1,IN/Out, 2364sdSingle1st.mat ,2,1,2364
1,3,6,1,7,1,1.2627068,0,0,2,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,4,280,3,1,1,0.87387302,0,0,3,201,1,leading/trailing, 2364sdSingle1st.mat ,2,1,2364
0,1,29,2,2,1,5.404248,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,8,1,4,1,1.4078774,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,3,89,1,1,1,3.6265227,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,963,2,3,1,2.8741284,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,680,3,4,1,1.2336154,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,4,50,2,1,1,1.7962545,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,7,2,4,1,1.2586531,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,32,1,6,1,1.6982153,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,507,2,7,1,1.45111,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,1,378,3,2,1,1.1018604,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,13,1,3,1,2.1216819,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,8,1,7,1,1.4372207,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,50,2,5,1,1.1369303,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,35,1,6,1,2.4034175,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,630,3,7,1,2.3710751,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,3,1,1,1,1,1.8547509,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,697,2,5,1,2.5468642,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,9,1,7,1,1.6150318,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,2,24,2,1,1,1.9844184,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,2,1,7,1,1.9016049,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,10,1,3,1,1.5794628,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,120,3,7,1,1.3536569,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,42,2,3,1,1.2250587,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,76,2,6,1,1.1571198,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,66,1,5,1,1.1419715,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,3,21,1,1,1,3.2353734,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,45,1,3,1,1.8278138,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,32,1,5,1,4.7011736,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,52,1,5,1,1.1753464,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,593,2,4,1,1.7961594,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,2,83,2,1,1,1.7223634,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,4,1,4,1,1.3371434,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,990,3,6,1,3.0088509,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,63,3,4,1,2.201269,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,425,1,6,1,1.6666565,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,749,1,7,1,1.1793896,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,4,50,2,1,1,1.5377541,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,12,1,6,1,1.4335972,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,50,2,7,1,1.7488955,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,2,161,3,1,1,1.8153646,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,65,1,3,1,0.92297602,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,847,1,4,1,2.2266117,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,60,2,4,1,1.2533525,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,72,1,5,1,1.2532628,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,982,2,7,1,2.5302721,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,4,80,2,1,1,2.4539511,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,60,2,5,1,1.4215014,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,47,1,6,1,1.2797313,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,680,3,6,1,1.6741246,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,450,3,4,1,1.1218106,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,4,490,3,1,1,1.6090118,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,79,1,6,1,1.8935766,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,353,3,4,1,1.5233683,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,3,5,1,1,1,1.7810172,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,340,3,4,1,1.6792208,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,630,3,5,1,1.6565738,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,96,1,5,1,2.0098584,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,70,2,7,1,1.4854438,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,87,1,7,1,2.3572702,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,6,1,5,1,1.6086221,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,20,2,7,1,1.1408792,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,44,1,5,1,1.2046512,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,626,3,5,1,2.224114,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,72,2,7,1,1.3378644,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,37,1,7,1,1.4151643,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,50,2,5,1,1.4266429,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,31,1,7,1,5.2604069,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,9,1,6,1,1.646513,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,660,3,5,1,1.3836772,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,399,1,7,1,1.2134025,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,1,39,2,2,1,1.1127694,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,2,806,2,1,1,1.497994,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,70,2,7,1,1.7060669,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,3,2,1,1,1,1.2900441,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,285,1,4,1,1.6976363,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,487,3,7,1,1.4888956,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,3,1,6,1,1.5217967,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,226,1,7,1,1.1939767,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,42,2,7,1,1.8480157,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,50,2,4,1,1.6863119,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,5,1,4,1,1.4720415,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,30,2,6,1,1.3055342,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,5,2,5,1,1.1449957,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,2,1,5,1,1.3050375,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,4,580,3,1,1,1.5356413,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,98,1,7,1,2.5667937,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,637,3,6,1,1.2404327,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,3,85,1,1,1,2.6031096,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,76,1,5,1,2.4676941,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,2,19,1,1,1,2.3720873,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,856,2,5,1,2.1986523,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,480,3,7,1,1.4887975,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,3,37,1,7,1,2.1386543,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,97,2,7,1,1.8312901,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,4,950,3,1,1,1.7377966,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,1,13,2,4,1,1.6944936,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,1,856,1,2,1,2.1235313,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,80,2,7,1,1.8447501,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,3,8,1,5,1,1.8846641,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,2,98,2,7,1,2.4690853,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,2,888,3,7,1,2.0750098,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,4,250,3,4,1,1.5614832,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,450,3,5,1,1.1593821,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
1,4,90,2,4,1,1.0946014,0,0,2,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,1,896,3,2,1,1.7033799,0,0,3,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,3,82,1,1,1,1.4470215,0,0,3,202,1,leading/trailing, 2365asSingle1st.mat ,2,1,2365
0,1,63,1,2,1,0.9844298,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
0,2,73,2,1,1,1.0076392,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
1,1,54,2,5,1,0.98814761,0,0,2,202,1,IN/Out, 2365asSingle1st.mat ,2,1,2365
