Heaven/Earth 0=Heaven; 1=Earth,Condition: 1= In Play; 2=Out of play; 3=leading; 4=trailing,Number Requested,"X: 1=Left most column, counting to the right to max of 2 or 3","Y: 1 equals top row (i.e., out of play heavenly bead), counting downwards to 7. ",Correct on Search task? Trials weith incorrect search responses were excluded from analysis,RT,Abacus entered: Only relevent to dual task,Correct on Abacus: only relevent to dual task,"Number of columns: occasionally you will see 0s in this column, this means the participant was in a pilot version with 4 columns and should be excluded. ",Subject Number: Assigned when extracted from .mat instead of alpha numeric number to make some things in life easier,<3Std Dev: removing outliers (2s). Calculated in linear space. Needs to be redone in log space,Inout or Leading trailing trial,Expertise level: ranges from 0 (none) to 2(has used abacus)
1,3,59,1,6,1,1.6,0,0,3,302,1,leading/trailing,0
1,1,43,1,6,1,1.51,0,0,2,302,1,IN/Out,0
1,2,63,2,7,1,4.51,0,0,2,302,1,IN/Out,0
1,2,47,2,6,1,1.1,0,0,2,302,1,IN/Out,0
1,3,7,1,7,1,1.48,0,0,2,302,1,leading/trailing,0
1,2,786,3,6,1,1.84,0,0,3,302,1,IN/Out,0
1,4,310,3,4,1,1.28,0,0,3,302,1,leading/trailing,0
1,4,70,2,6,1,1.44,0,0,2,302,1,leading/trailing,0
1,2,432,3,7,1,1.27,0,0,3,302,1,IN/Out,0
1,4,470,3,7,1,1.2,0,0,3,302,1,leading/trailing,0
0,4,870,3,1,1,1.98,0,0,3,302,1,leading/trailing,0
1,2,145,3,4,1,1.08,0,0,3,302,1,IN/Out,0
1,4,230,3,6,1,1.22,0,0,3,302,1,leading/trailing,0
0,2,48,1,1,1,2.64,0,0,2,302,1,IN/Out,0
1,1,692,3,3,1,2.4,0,0,3,302,1,IN/Out,0
1,3,9,1,7,1,1.73,0,0,2,302,1,leading/trailing,0
1,2,961,2,5,1,1.08,0,0,3,302,1,IN/Out,0
1,1,95,1,6,1,1.21,0,0,2,302,1,IN/Out,0
0,1,52,1,2,0,0.932,0,0,2,302,1,IN/Out,0
1,3,12,1,6,1,2.49,0,0,3,302,1,leading/trailing,0
1,1,64,2,6,1,1.38,0,0,2,302,1,IN/Out,0
0,2,50,2,1,1,1.25,0,0,2,302,1,IN/Out,0
1,2,9,1,6,1,1.25,0,0,2,302,1,IN/Out,0
1,4,30,2,7,1,1.05,0,0,2,302,1,leading/trailing,0
1,3,69,1,4,1,1.54,0,0,3,302,1,leading/trailing,0
0,3,4,1,1,1,1.07,0,0,2,302,1,leading/trailing,0
1,2,17,1,6,1,1.47,0,0,2,302,1,IN/Out,0
0,2,770,3,1,1,2.03,0,0,3,302,1,IN/Out,0
0,4,20,2,1,1,0.915,0,0,2,302,1,leading/trailing,0
1,3,4,1,4,1,0.974,0,0,2,302,1,leading/trailing,0
1,1,156,3,3,1,1.43,0,0,3,302,1,IN/Out,0
1,2,8,1,4,1,2.67,0,0,2,302,1,IN/Out,0
0,3,19,1,1,1,1.76,0,0,3,302,1,leading/trailing,0
1,3,68,1,5,1,1.57,0,0,3,302,1,leading/trailing,0
1,4,80,2,5,1,0.826,0,0,2,302,1,leading/trailing,0
1,4,40,2,7,1,0.754,0,0,2,302,1,leading/trailing,0
1,4,860,3,5,1,0.954,0,0,3,302,1,leading/trailing,0
1,4,240,3,5,1,0.845,0,0,3,302,1,leading/trailing,0
1,4,140,3,4,1,0.842,0,0,3,302,1,leading/trailing,0
1,2,877,1,7,1,3.13,0,0,3,302,1,IN/Out,0
0,3,5,1,1,1,0.737,0,0,2,302,1,leading/trailing,0
0,1,9,2,2,1,0.708,0,0,2,302,1,IN/Out,0
1,2,65,1,7,1,1.11,0,0,2,302,1,IN/Out,0
1,4,90,2,5,1,1.57,0,0,2,302,1,leading/trailing,0
1,1,24,2,3,1,3.09,0,0,2,302,1,IN/Out,0
1,1,34,1,3,1,0.765,0,0,2,302,1,IN/Out,0
1,4,20,2,5,1,1.23,0,0,2,302,1,leading/trailing,0
0,4,40,2,1,1,1.07,0,0,2,302,1,leading/trailing,0
1,1,851,1,4,1,1.36,0,0,3,302,1,IN/Out,0
0,2,52,2,1,1,0.786,0,0,2,302,1,IN/Out,0
1,1,178,3,3,1,0.701,0,0,3,302,1,IN/Out,0
1,2,24,1,6,1,1.12,0,0,2,302,1,IN/Out,0
1,1,47,2,3,1,2.35,0,0,2,302,1,IN/Out,0
0,3,82,1,1,1,1,0,0,3,302,1,leading/trailing,0
1,1,564,3,5,1,1.23,0,0,3,302,1,IN/Out,0
1,4,640,3,4,1,1.25,0,0,3,302,1,leading/trailing,0
0,4,830,3,1,1,0.808,0,0,3,302,1,leading/trailing,0
1,2,200,3,5,1,1.21,0,0,3,302,1,IN/Out,0
0,2,361,3,1,1,3.54,0,0,3,302,1,IN/Out,0
1,1,774,3,3,1,1.05,0,0,3,302,1,IN/Out,0
0,3,7,1,1,1,0.765,0,0,2,302,1,leading/trailing,0
1,3,53,1,7,1,3.01,0,0,3,302,1,leading/trailing,0
1,3,35,1,4,1,1.74,0,0,3,302,1,leading/trailing,0
1,4,60,2,7,1,1.89,0,0,2,302,1,leading/trailing,0
1,1,67,1,3,1,1.02,0,0,2,302,1,IN/Out,0
1,4,20,2,5,1,1.07,0,0,2,302,1,leading/trailing,0
1,1,994,3,3,1,1.88,0,0,3,302,1,IN/Out,0
1,4,940,3,6,1,6.25,0,0,3,302,1,leading/trailing,0
1,4,770,3,6,1,1.46,0,0,3,302,1,leading/trailing,0
0,4,30,2,1,1,0.961,0,0,2,302,1,leading/trailing,0
1,2,526,1,7,1,2.09,0,0,3,302,1,IN/Out,0
1,3,81,1,7,1,1.94,0,0,3,302,1,leading/trailing,0
1,3,1,1,6,1,1.93,0,0,2,302,1,leading/trailing,0
0,3,79,1,1,1,3.64,0,0,3,302,1,leading/trailing,0
1,2,53,1,4,1,1.45,0,0,2,302,1,IN/Out,0
0,1,896,2,2,1,1.09,0,0,3,302,1,IN/Out,0
0,2,764,3,1,1,2.08,0,0,3,302,1,IN/Out,0
1,3,2,1,6,1,1.8,0,0,2,302,1,leading/trailing,0
0,2,115,1,1,1,0.686,0,0,3,302,1,IN/Out,0
1,2,916,2,5,1,2.59,0,0,3,302,1,IN/Out,0
0,1,902,1,2,1,1.85,0,0,3,302,1,IN/Out,0
1,4,10,2,7,1,1.64,0,0,2,302,1,leading/trailing,0
1,3,34,1,4,1,1.42,0,0,3,302,1,leading/trailing,0
1,2,261,2,6,1,1.77,0,0,3,302,1,IN/Out,0
1,2,27,1,6,1,1.59,0,0,2,302,1,IN/Out,0
1,4,10,2,7,1,1.43,0,0,2,302,1,leading/trailing,0
0,3,79,1,1,1,0.639,0,0,3,302,1,leading/trailing,0
1,4,140,3,4,1,1.44,0,0,3,302,1,leading/trailing,0
1,2,537,3,6,1,1.35,0,0,3,302,1,IN/Out,0
0,4,970,3,1,1,1.96,0,0,3,302,1,leading/trailing,0
1,1,159,3,3,1,1.6,0,0,3,302,1,IN/Out,0
1,2,62,1,5,1,1.73,0,0,2,302,1,IN/Out,0
1,4,520,3,7,1,1.36,0,0,3,302,1,leading/trailing,0
1,1,54,2,6,1,2.52,0,0,2,302,1,IN/Out,0
0,1,804,1,2,1,1.15,0,0,3,302,1,IN/Out,0
1,1,28,1,3,1,1.13,0,0,2,302,1,IN/Out,0
0,1,39,2,2,1,0.998,0,0,2,302,1,IN/Out,0
1,1,348,1,5,1,1.32,0,0,3,302,1,IN/Out,0
1,2,622,2,7,1,1.8,0,0,3,302,1,IN/Out,0
0,3,2,1,1,1,0.985,0,0,2,302,1,leading/trailing,0
1,2,4,1,7,1,1.79,0,0,2,302,1,IN/Out,0
1,2,70,1,7,1,1.93,0,0,2,302,1,IN/Out,0
1,4,850,3,6,1,1.66,0,0,3,302,1,leading/trailing,0
1,3,2,1,7,1,1.28,0,0,2,302,1,leading/trailing,0
0,2,92,2,1,1,1.74,0,0,2,302,1,IN/Out,0
1,1,53,2,4,1,2.64,0,0,2,302,1,IN/Out,0
1,3,3,1,6,1,1.4,0,0,2,302,1,leading/trailing,0
1,4,80,2,7,1,1.17,0,0,2,302,1,leading/trailing,0
1,3,9,1,4,1,1.6,0,0,2,302,1,leading/trailing,0
1,3,3,1,4,0,1.03,0,0,2,302,1,leading/trailing,0
1,3,2,1,7,1,1.36,0,0,2,302,1,leading/trailing,0
1,4,20,2,6,1,1.72,0,0,2,302,1,leading/trailing,0
0,4,570,3,1,1,1.47,0,0,3,302,1,leading/trailing,0
1,1,51,2,3,1,0.901,0,0,2,302,1,IN/Out,0
1,3,5,1,4,1,0.655,0,0,2,302,1,leading/trailing,0
1,3,8,1,7,1,1.12,0,0,2,302,1,leading/trailing,0
1,1,829,1,3,1,1.19,0,0,3,302,1,IN/Out,0
1,2,71,3,7,1,1.13,0,0,3,302,1,IN/Out,0
0,4,70,2,1,1,0.992,0,0,2,302,1,leading/trailing,0
1,1,58,3,5,1,1.13,0,0,3,302,1,IN/Out,0
0,1,488,3,2,1,1.42,0,0,3,302,1,IN/Out,0
1,3,88,1,4,0,0.809,0,0,3,302,1,leading/trailing,0
1,1,7,2,4,1,2.28,0,0,2,303,1,IN/Out,0
1,2,491,3,6,1,1.72,0,0,3,303,1,IN/Out,0
1,2,906,3,5,1,1.29,0,0,3,303,1,IN/Out,0
1,4,510,3,4,1,1.41,0,0,3,303,1,leading/trailing,0
1,3,4,1,5,1,1.15,0,0,2,303,1,leading/trailing,0
1,4,10,2,5,1,1.43,0,0,2,303,1,leading/trailing,0
1,3,7,1,7,1,1.22,0,0,2,303,1,leading/trailing,0
1,2,778,3,7,1,1.78,0,0,3,303,1,IN/Out,0
0,1,916,3,2,1,1.98,0,0,3,303,1,IN/Out,0
1,1,46,1,3,1,0.974,0,0,2,303,1,IN/Out,0
1,4,90,2,7,1,1.28,0,0,2,303,1,leading/trailing,0
1,2,1,1,6,1,1.86,0,0,2,303,1,IN/Out,0
0,2,379,1,1,1,1.79,0,0,3,303,1,IN/Out,0
0,3,78,1,1,1,1.21,0,0,3,303,1,leading/trailing,0
1,4,30,2,6,1,1.25,0,0,2,303,1,leading/trailing,0
1,2,34,1,7,1,2.81,0,0,2,303,1,IN/Out,0
1,1,948,3,4,1,1.57,0,0,3,303,1,IN/Out,0
0,4,10,2,1,1,1.77,0,0,2,303,1,leading/trailing,0
0,2,960,3,1,1,1.39,0,0,3,303,1,IN/Out,0
1,4,690,3,5,1,1.07,0,0,3,303,1,leading/trailing,0
0,2,213,1,1,1,1.77,0,0,3,303,1,IN/Out,0
1,4,620,3,4,1,1.02,0,0,3,303,1,leading/trailing,0
1,3,27,1,4,1,1.15,0,0,3,303,1,leading/trailing,0
1,2,51,2,5,1,1.06,0,0,2,303,1,IN/Out,0
1,2,55,1,7,1,1.16,0,0,2,303,1,IN/Out,0
1,1,302,1,3,1,1.35,0,0,3,303,1,IN/Out,0
0,2,20,1,1,1,1.81,0,0,2,303,1,IN/Out,0
0,3,1,1,1,1,1.56,0,0,2,303,1,leading/trailing,0
0,1,51,1,2,1,0.876,0,0,2,303,1,IN/Out,0
1,3,7,1,4,1,0.959,0,0,2,303,1,leading/trailing,0
1,1,121,2,4,1,1.22,0,0,3,303,1,IN/Out,0
1,1,66,1,3,1,0.811,0,0,2,303,1,IN/Out,0
1,1,323,2,3,1,1.31,0,0,3,303,1,IN/Out,0
1,2,65,1,6,1,1.16,0,0,2,303,1,IN/Out,0
1,3,57,1,4,1,1.07,0,0,3,303,1,leading/trailing,0
0,3,24,1,1,1,1.68,0,0,3,303,1,leading/trailing,0
0,2,53,2,1,1,1.41,0,0,2,303,1,IN/Out,0
1,2,34,1,7,1,1.41,0,0,2,303,1,IN/Out,0
1,4,220,3,5,1,1.14,0,0,3,303,1,leading/trailing,0
1,2,481,3,5,1,0.986,0,0,3,303,1,IN/Out,0
1,4,80,2,4,1,0.915,0,0,2,303,1,leading/trailing,0
1,4,40,2,6,1,0.866,0,0,2,303,1,leading/trailing,0
1,4,810,3,7,1,1.19,0,0,3,303,1,leading/trailing,0
1,3,12,1,6,1,1.34,0,0,3,303,1,leading/trailing,0
1,3,3,1,6,1,1.1,0,0,2,303,1,leading/trailing,0
1,2,245,3,6,1,1.35,0,0,3,303,1,IN/Out,0
1,3,1,1,4,1,0.869,0,0,2,303,1,leading/trailing,0
1,2,611,1,6,1,0.871,0,0,3,303,1,IN/Out,0
1,1,57,2,3,1,0.826,0,0,2,303,1,IN/Out,0
1,1,188,2,3,1,0.876,0,0,3,303,1,IN/Out,0
0,1,903,1,2,1,0.745,0,0,3,303,1,IN/Out,0
1,1,297,2,6,1,0.743,0,0,3,303,1,IN/Out,0
1,3,7,1,6,1,0.848,0,0,2,303,1,leading/trailing,0
1,3,6,1,5,1,1.04,0,0,2,303,1,leading/trailing,0
1,2,45,2,4,1,0.738,0,0,2,303,1,IN/Out,0
1,1,64,1,3,1,0.801,0,0,2,303,1,IN/Out,0
0,3,1,1,1,1,0.793,0,0,2,303,1,leading/trailing,0
1,2,754,2,4,1,1.83,0,0,3,303,1,IN/Out,0
1,4,650,3,7,1,1.08,0,0,3,303,1,leading/trailing,0
1,3,2,1,5,1,0.988,0,0,2,303,1,leading/trailing,0
0,4,250,3,1,1,2.38,0,0,3,303,1,leading/trailing,0
1,2,85,1,7,1,1.29,0,0,2,303,1,IN/Out,0
1,3,84,1,5,1,0.974,0,0,3,303,1,leading/trailing,0
1,1,32,1,5,1,0.942,0,0,2,303,1,IN/Out,0
1,2,671,1,5,1,1.24,0,0,3,303,1,IN/Out,0
0,3,38,1,1,1,0.885,0,0,3,303,1,leading/trailing,0
1,4,60,2,5,1,1.23,0,0,2,303,1,leading/trailing,0
1,1,389,3,3,1,1.36,0,0,3,303,1,IN/Out,0
1,1,40,1,6,1,1.38,0,0,2,303,1,IN/Out,0
0,4,10,2,1,1,0.833,0,0,2,303,1,leading/trailing,0
0,1,54,1,2,1,0.813,0,0,2,303,1,IN/Out,0
1,4,580,3,5,1,1.07,0,0,3,303,1,leading/trailing,0
0,4,910,3,1,1,1.24,0,0,3,303,1,leading/trailing,0
0,1,153,2,2,1,0.952,0,0,3,303,1,IN/Out,0
1,3,91,1,7,1,1.21,0,0,3,303,1,leading/trailing,0
0,3,98,1,1,1,0.77,0,0,3,303,1,leading/trailing,0
0,2,626,2,1,1,1.12,0,0,3,303,1,IN/Out,0
1,1,1,2,3,1,1.1,0,0,2,303,1,IN/Out,0
1,2,737,3,6,1,1.04,0,0,3,303,1,IN/Out,0
1,3,5,1,7,1,1.22,0,0,2,303,1,leading/trailing,0
1,3,7,1,7,1,1.01,0,0,2,303,1,leading/trailing,0
1,4,50,2,7,1,0.977,0,0,2,303,1,leading/trailing,0
1,1,99,1,4,1,0.857,0,0,2,303,1,IN/Out,0
1,1,463,1,6,1,1.12,0,0,3,303,1,IN/Out,0
1,1,42,2,4,1,0.885,0,0,2,303,1,IN/Out,0
1,4,440,3,4,1,0.749,0,0,3,303,1,leading/trailing,0
0,1,88,2,2,1,1.01,0,0,2,303,1,IN/Out,0
1,4,710,3,4,1,0.979,0,0,3,303,1,leading/trailing,0
0,2,20,2,1,1,0.738,0,0,2,303,1,IN/Out,0
1,1,230,2,5,1,1.02,0,0,3,303,1,IN/Out,0
0,1,36,2,2,1,0.886,0,0,2,303,1,IN/Out,0
1,2,337,1,7,1,1.35,0,0,3,303,1,IN/Out,0
1,2,83,2,7,1,0.921,0,0,2,303,1,IN/Out,0
1,4,10,2,7,1,0.673,0,0,2,303,1,leading/trailing,0
1,1,117,2,3,1,0.906,0,0,3,303,1,IN/Out,0
1,3,9,1,5,1,1.14,0,0,2,303,1,leading/trailing,0
0,4,30,2,1,1,1.17,0,0,2,303,1,leading/trailing,0
0,4,560,3,1,1,0.731,0,0,3,303,1,leading/trailing,0
1,3,35,1,7,1,1.36,0,0,3,303,1,leading/trailing,0
1,4,40,2,7,1,1.48,0,0,2,303,1,leading/trailing,0
1,4,110,3,7,1,1.19,0,0,3,303,1,leading/trailing,0
1,4,80,2,5,1,1.04,0,0,2,303,1,leading/trailing,0
1,3,29,1,6,1,1.25,0,0,3,303,1,leading/trailing,0
1,4,250,3,6,1,1.22,0,0,3,303,1,leading/trailing,0
1,3,73,1,4,1,0.964,0,0,3,303,1,leading/trailing,0
0,3,4,1,1,1,1.23,0,0,2,303,1,leading/trailing,0
1,4,10,2,7,1,1.68,0,0,2,303,1,leading/trailing,0
1,2,356,2,6,1,1.77,0,0,3,303,1,IN/Out,0
0,4,940,3,1,1,1.51,0,0,3,303,1,leading/trailing,0
1,3,59,1,5,1,1.41,0,0,3,303,1,leading/trailing,0
1,2,10,1,5,1,1.03,0,0,2,303,1,IN/Out,0
1,3,82,1,4,1,1.31,0,0,3,303,1,leading/trailing,0
1,1,434,3,3,1,1.4,0,0,3,303,1,IN/Out,0
1,2,42,2,6,1,0.857,0,0,2,303,1,IN/Out,0
0,1,664,1,2,1,1.13,0,0,3,303,1,IN/Out,0
1,1,26,1,3,1,1.21,0,0,2,303,1,IN/Out,0
1,1,579,2,3,1,1.29,0,0,3,303,1,IN/Out,0
1,2,22,1,7,1,1.41,0,0,2,303,1,IN/Out,0
0,4,60,2,1,1,1.02,0,0,2,303,1,leading/trailing,0
1,2,67,1,5,1,1.56,0,0,3,303,1,IN/Out,0
0,2,38,1,1,1,1.21,0,0,2,303,1,IN/Out,0
1,4,80,2,5,1,0.977,0,0,2,303,1,leading/trailing,0
1,1,62,2,3,1,1.1,0,0,2,303,1,IN/Out,0
1,4,750,3,6,1,1.5,0,0,3,303,1,leading/trailing,0
0,3,6,1,1,1,1.1,0,0,2,303,1,leading/trailing,0
1,3,53,1,6,1,1.52,0,0,3,303,1,leading/trailing,0
1,3,77,1,4,1,1.17,0,0,3,303,1,leading/trailing,0
1,3,8,1,6,1,1.38,0,0,2,303,1,leading/trailing,0
1,3,47,1,6,1,3.45,0,0,3,304,1,leading/trailing,0
1,3,2,1,4,1,0.94,0,0,2,304,1,leading/trailing,0
1,2,2,1,5,1,0.779,0,0,2,304,1,IN/Out,0
1,1,338,2,4,1,0.714,0,0,3,304,1,IN/Out,0
0,4,50,2,1,1,0.893,0,0,2,304,1,leading/trailing,0
